order_id,order_date,supplier_id,product_id,category,quantity,unit_price,total_amount,promised_delivery_date,actual_delivery_date,promised_lead_days,actual_lead_days,days_late,on_time_flag,status
PO-10001,2024-01-17,SUP-010,PRD-015,Electrical,71,335.27,23804.17,2024-01-23,2024-01-24,6,7,1,0,Delivered
PO-10006,2024-12-18,SUP-015,PRD-021,Plumbing,22,58.34,1283.48,2024-12-28,2025-01-02,10,15,5,0,Delivered
PO-10009,2025-05-21,SUP-004,PRD-002,Structural,39,301.79,11769.81,2025-06-03,,13,,,,Pending
PO-10012,04-01-2026,SUP-005,PRD-011,Concrete,48,37.67,1808.16,2026-04-08,,7,,,,Cancelled
PO-10014,2025-03-14,SUP-006,PRD-011,Concrete,73,37.82,2760.86,2025-03-22,2025-03-22,8,8,0,1,Delivered
PO-10017,2024-02-15,SUP-018,PRD-025,Finishes,52,16.4,852.8,2024-03-03,2024-03-10,17,24,7,0,Delivered
PO-10022,2024-12-26,SUP-017,PRD-025,Finishes,19,14.51,275.69,2025-01-06,2025-01-16,11,21,10,0,Delivered
PO-10027,13/02/2024,SUP-015,PRD-022,Plumbing,72,-129.83,9347.76,2024-02-27,,14,,,,Cancelled
PO-10030,21/03/2024,SUP-013,PRD-022,Plumbing,35,125.76,4401.6,2024-03-26,2024-03-29,5,8,3,0,Delivered
PO-10035,2024-06-21,SUP-010,PRD-018,Electrical,78,-28.08,2190.24,2024-06-30,2024-07-03,9,12,3,0,Delivered
PO-10036,2024-02-29,SUP-013,PRD-034,Plumbing,62,39.76,2465.12,2024-03-06,,6,,,,Pending
PO-10038,2025-08-28,SUP-015,PRD-040,Plumbing,68,36.0,2448.0,2025-09-09,2025-09-09,12,12,0,1,Delivered
PO-10039,2025-08-26,SUP-002,PRD-002,Structural,11,284.48,3129.28,31/08/2025,,5,,,,Pending
PO-10043,2024-07-31,SUP-014,PRD-020,Plumbing,57,42.2,2405.4,05-08-2024,2024-08-04,5,4,0,1,Delivered
PO-10047,2025-09-09,SUP-002,PRD-004,Structural,19,85.81,1630.39,2025-09-15,2025-09-15,6,6,0,1,Delivered
PO-10048,2025-07-14,SUP-016,PRD-023,Finishes,64,90.22,5774.08,20-07-2025,2025-07-20,6,6,0,1,Delivered
PO-10052,2024-08-30,SUP-025,PRD-028,Safety,9,18.82,169.38,2024-09-10,2024-09-10,11,11,0,1,Delivered
PO-10057,2024-05-03,SUP-016,PRD-024,Finishes,32,45.37,1451.84,2024-05-08,,5,,,,Pending
PO-10062,2025-04-11,SUP-011,PRD-015,Electrical,32,341.54,10929.28,2025-04-26,2025-04-28,15,17,2,0,Delivered
